from;to;load
0;1;0.02
0;3;0.0
1;0;0.04
1;11;0.07
1;15;0.01
1;16;0.02
1;18;0.0
1;19;0.0
2;8;0.05
2;9;0.01
3;0;0.0
3;5;0.05
3;16;0.02
3;23;0.03
4;8;0.01
4;16;0.0
4;20;0.0
5;3;0.08
5;22;0.0
6;11;0.01
6;15;0.01
6;17;0.01
6;23;0.1
6;28;0.01
7;8;0.02
7;9;0.01
7;13;0.0
7;15;0.03
7;18;0.01
7;21;0.01
7;24;0.0
8;2;0.03
8;4;0.02
8;7;0.01
8;10;0.01
8;12;0.0
8;13;0.01
8;15;0.05
8;17;0.01
8;19;0.02
9;2;0.0
9;7;0.03
9;12;0.02
9;15;0.09
9;26;0.02
10;8;0.02
10;16;0.03
11;1;0.06
11;6;0.01
12;8;0.0
12;9;0.04
13;7;0.0
13;8;0.01
14;16;0.01
14;22;0.0
14;25;0.0
15;1;0.02
15;6;0.02
15;7;0.03
15;8;0.01
15;9;0.08
15;16;0.02
15;22;0.03
15;24;0.0
15;25;0.0
15;26;0.0
15;28;0.02
15;29;0.02
16;1;0.01
16;3;0.02
16;4;0.02
16;10;0.04
16;14;0.0
16;15;0.01
16;20;0.03
16;22;0.01
16;23;0.02
17;6;0.01
17;8;0.01
18;1;0.01
18;7;0.0
19;1;0.0
19;8;0.01
19;27;0.01
20;4;0.0
20;16;0.02
21;7;0.01
21;23;0.01
22;5;0.01
22;14;0.0
22;15;0.03
22;16;0.03
22;29;0.0
23;3;0.02
23;6;0.16
23;16;0.01
23;21;0.01
23;27;0.01
24;7;0.01
24;15;0.0
25;14;0.0
25;15;0.01
26;9;0.03
26;15;0.01
27;19;0.01
27;23;0.01
28;6;0.01
28;15;0.0
29;15;0.01
29;22;0.01
