from;to;load
0;1;0.05
0;3;0.0
1;0;0.11
1;11;0.05
1;15;0.01
1;16;0.01
1;18;0.03
1;19;0.01
2;8;0.0
2;9;0.03
3;0;0.0
3;5;0.04
3;16;0.0
3;23;0.01
4;8;0.02
4;16;0.0
4;20;0.0
5;3;0.06
5;22;0.01
6;11;0.0
6;15;0.01
6;17;0.01
6;23;0.07
6;28;0.0
7;8;0.06
7;9;0.0
7;13;0.02
7;15;0.03
7;18;0.02
7;21;0.0
7;24;0.0
8;2;0.0
8;4;0.03
8;7;0.04
8;10;0.01
8;12;0.03
8;13;0.01
8;15;0.04
8;17;0.01
8;19;0.01
9;2;0.0
9;7;0.01
9;12;0.01
9;15;0.07
9;26;0.01
10;8;0.0
10;16;0.02
11;1;0.05
11;6;0.01
12;8;0.03
12;9;0.01
13;7;0.01
13;8;0.01
14;16;0.0
14;22;0.02
14;25;0.0
15;1;0.03
15;6;0.02
15;7;0.04
15;8;0.04
15;9;0.03
15;16;0.02
15;22;0.02
15;24;0.01
15;25;0.0
15;26;0.01
15;28;0.02
15;29;0.04
16;1;0.01
16;3;0.01
16;4;0.01
16;10;0.02
16;14;0.0
16;15;0.0
16;20;0.02
16;22;0.0
16;23;0.03
17;6;0.0
17;8;0.01
18;1;0.03
18;7;0.02
19;1;0.01
19;8;0.01
19;27;0.02
20;4;0.0
20;16;0.01
21;7;0.01
21;23;0.01
22;5;0.01
22;14;0.01
22;15;0.02
22;16;0.01
22;29;0.03
23;3;0.01
23;6;0.15
23;16;0.01
23;21;0.01
23;27;0.01
24;7;0.01
24;15;0.01
25;14;0.0
25;15;0.01
26;9;0.01
26;15;0.01
27;19;0.02
27;23;0.0
28;6;0.0
28;15;0.01
29;15;0.09
29;22;0.01
